name,capacity,weight_kg,weight_lb,size,price,price_currency,warranty,notes,url,amazon
Kathmandu Federate Adapt,"25L, 38L, 50L",2.1,4.63,54.00 x 34.00 x 18.00,216,GBP,,"Deprecated, no external access, on the heavy side",https://www.kathmandu.co.uk/federate-adapt-pack.html,
Kathmandu Federate Travel Pack,28L,1.45,3.2,54.00 x 30.00 x 28.00,134.99,GBP,,Deprecated,https://www.kathmandu.co.uk/federate-travel-pack.html,
MILLICAN SMITH THE ROLLTOP,25L,1.05,2.31,52.00 x 28.00 x 18.00,125,GBP,,,https://www.homeofmillican.com/collections/daypacks/products/the-mavericks-smith-the-roll-pack-25l-graphite,
Dell Tek Backpack,0L,0.739,1.63,45.00 x 32.00 x 15.00,29.99,GBP,,,,B00KXXZ3KQ
Spigen New Coated 2,14-20L,1.1,2.43,44.00 x 32.00 x 14.00,79.99,GBP,,,http://www.spigen.co.uk/new-coated-2-backpack.html,
WANDRD PRVKE 31,31-36L,1.5,3.31,48.00 x 32.00 x 19.00,,,Lifetime,"Expands, limited number of external pockets",https://eu.wandrd.com/products/prvke?variant=16220601024546,
WANDRD PRVKE 21,21-25L,1.3,2.87,43.00 x 28.00 x 17.00,,,Lifetime,"Expands, limited number of external pockets",https://eu.wandrd.com/products/prvke?variant=16220600926242,
Knack Bags Large,22-37L,1.54,3.4,54.61 x 35.56 x 11.43,,,,"Expands, very slim when not expanded, not good for rain, side laptop pocket, not much airflow on the back",https://knackbags.com/products/large-expandable-knackpack?variant=8632946327613,
Knack Bags Medium,17-31L,0.95,2.09,46.26 x 30.48 x 11.43,,,,,https://knackbags.com/products/medium-expandable-knackpack?variant=8632941707325,
Bamian Pack 17 by ESHENA,27-47L,2,4.41,57.00 x 33.00 x 15.00,,,Lifetime,,https://www.indiegogo.com/projects/the-ultimate-adjustable-backpack-by-eshena#/,
Bamian Pack 15 by ESHENA,22-37L,1.8,3.97,51.00 x 31.00 x 14.00,,,Lifetime,,https://www.indiegogo.com/projects/the-ultimate-adjustable-backpack-by-eshena#/,
GoRuck GR2 (40L),40L,2.15,4.74,55.80 x 31.70 x 22.80,,,,,https://www.goruck.com/gr2,
GoRuck GR2 (32L),32L,1.97,4.34,52.07 x 31.75 x 22.86,,,,On the heavy side,https://www.goruck.com/gr2,
Peak Design Travel Backpack,"30L, 35L, 45L",2.05,4.52,53.34 x 38.10 x 14.61,300,GBP,Lifetime,"Relatively heavy, tons of protective padding for your gear which makes it a bit bulky. Laptop sleeve rigid and secure.",https://www.peakdesign.com/collections/travel-bags/products/travel-backpack,
Boundary Supply Prima System,25-30L,1.4,3.09,53.00 x 31.00 x 18.00,,,,Might be too small for some,https://www.boundarysupply.com/collections/prima-system/products/prima-system?variant=169818914828,
Aer Travel Pack 2,33L,1.6,3.53,55.00 x 34.00 x 22.00,230,USD,Lifetime,Might be too big for a daily backpack,https://www.aersf.com/travel-pack-2-black,
Arc'teryx COVERT CASE C/O,40L,0.98,2.16,57.00 x 38.00 x 28.00,,,,,https://arcteryx.com/gb/en/shop/covert-case-c-o,
Koala JOEY,25-40L,1.2,2.65,51.00 x 33.00 x 20.00,,,,,https://www.koala-gear.com/products/joey-black-microfiber,
OpposeThis Invisible Carry-On (Old),24-33L,1.45,3.2,52.00 x 34.00 x 15.00,,,,Deprecated,https://www.opposethis.com/products/archive-invisible-carryon-black,
OpposeThis Invisible Carry-On (New),25L,1.05,2.31,50.00 x 30.00 x 20.00,,,,,https://www.opposethis.com/products/invisible-carry-on,
Tom Bihn Synapse 25,25L,0.9,1.98,50.80 x 34.00 x 23.00,,,,,https://www.tombihn.com/products/synapse-25?variant=50297636743,
Black Ember WPRT MINIMAL,25-30L,,0,51.00 x 32.00 x 15.02,,,Lifetime,,https://blackember.com/collections/the-wprt-roll-top-backpack-collection/products/the-wprt-minimal-pack,
Minaal Carry-on 2.0,35L,1.415,3.12,,,,,,https://www.minaal.com/products/minaal-carry-on-bag,
Eagle Creek Wayfinder Backpack 40L,40L,1.17,2.58,,,,Lifetime,Poor airflow on the back,https://www.eaglecreek.com/shop/wayfinder/wayfinder-backpack-40l-ec0a3sat#hero=0,
Tortuga Setout Divide,26-34L,1.7,3.75,50.80 x 33.00 x 15.20,179,USD,,"Bulky hipbelts, nice padding, good expansion, no water resistance",https://www.tortugabackpacks.com/products/setout-divide-backpack,
Osprey Radial 34,34L,1.51,3.33,54.00 x 33.00 x 34.00,140,GBP,Lifetime,"Good airflow on the back, outdoorsy look",https://www.ospreyeurope.com/shop/gb_en/radial-34,
Lowe Alpine Men's AirZone Pro,35-45L,,0,,86.63,GBP,,,,B01BA96U8A
Timbuk2 Especial Tres Cycling Pack,40L,1,2.2,,,,,,https://www.timbuk2.com/products/437-especial-tres-cycling-backpack?variant=14478359265322,
Waymark Thru 40 Pack,40L,0.6,1.32,,240,USD,,Ultralight,https://www.waymarkgearco.com/thru-series/thru-40-liter-msppe-nfx9m-kda9f-ljt36-l63zc-acbcw,
Palante Packs RETRO SIMPLE PACK,30L,,,,,,,,https://palantepacks.com/product/retro-simple/,
Palante Packs V2 LAMINATE,31-37L,,,,,,,,https://palantepacks.com/product/v2-pre-order/,
Chrome BLCKCHRM 22X BRAVO 3.0,35L,,2.6,,,,,,https://www.chromeindustries.com/product/blckchrm-22x-bravo-3.0/BG-247.html?dwvar_BG-247_color=BKLB&dwvar_BG-247_size=NA&cgid=backpacks,
